,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
3397,3397,Indi Hemp,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,₹499,
3398,3398,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹499,
3399,3399,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹499,
3400,3400,Chanda Khuba,"Men Regular, Slim, Tailored Fit Washed Cut Away Collar ...","Men Regular, Slim, Tailored Fit Washed Cut Away Collar ...","Men Regular, Slim, Tailored Fit Washed Cut Away Collar ...","₹1,490",
3401,3401,Chanda Khuba,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,"₹1,490",
3402,3402,Swear Clothes,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹447,
3403,3403,VALKO FASHION,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹299,
3404,3404,PROTOCOL,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹299,
3405,3405,PROTOCOL,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹319,
3406,3406,Chanda Khuba,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,"₹1,490",
3407,3407,Chanda Khuba,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,"₹1,490",
3408,3408,VALKO FASHION,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹319,
